date,day_number,active_users,avg_data_per_user,peak_hour_traffic,video_streaming,voice_calls,iot_devices,network_load,packet_loss,latency_ms
2023-07-11,191,1053,2.82,2435.97,1345.65,161.85,299,46.24,0.42,24.17
2023-07-12,192,1071,2.14,1910.23,806.46,127.38,157,59.45,4.89,78.92
2023-07-13,193,1388,4.03,5197.66,3078.89,175.31,399,46.79,0.24,30.7
2023-07-14,194,1045,4.8,5161.87,2475.44,151.88,185,46.16,0.31,92.15
2023-07-15,195,903,2.44,2482.56,1734.78,82.51,99,33.9,2.92,49.79
2023-07-16,196,1652,1.04,1420.38,680.82,187.43,261,81.59,3.4,84.53
2023-07-17,197,1883,1.5,3010.85,1970.38,122.55,483,45.68,0.6,83.8
2023-07-18,198,1016,3.05,2698.24,1690.67,157.86,471,69.64,3.04,47.01
2023-07-19,199,1543,4.15,7308.06,5085.29,113.69,63,41.32,3.67,69.69
2023-07-20,200,1111,0.72,891.59,620.27,170.85,359,84.51,2.39,46.74
2023-07-21,201,825,0.67,606.91,244.45,85.47,346,85.54,4.93,50.3
2023-07-22,202,1256,4.33,4439.56,2345.63,179.26,187,77.25,4.75,52.1
2023-07-23,203,1903,4.56,10240.56,4791.82,118.5,161,59.68,1.95,20.52
2023-07-24,204,1082,1.99,2073.23,1391.82,176.31,484,36.01,1.55,23.6
2023-07-25,205,828,3.42,3227.11,1359.82,53.48,315,92.91,3.74,62.59
2023-07-26,206,1349,4.4,5883.57,2832.32,150.77,187,69.61,0.18,13.49
2023-07-27,207,1468,2.03,3077.44,1813.41,87.6,178,51.27,1.53,85.32
2023-07-28,208,1212,2.33,2555.34,1246.32,96.77,101,78.54,3.73,45.2
2023-07-29,209,1682,2.85,5513.7,2737.89,63.9,346,53.85,3.03,25.85
2023-07-30,210,1468,0.83,1077.18,556.09,132.84,351,93.79,0.35,26.4
2023-07-31,211,1723,4.65,7417.05,4244.34,140.27,120,44.51,3.6,41.75
2023-08-01,212,1607,4.15,6738.09,3222.59,72.34,304,74.11,4.59,54.95
2023-08-02,213,1226,1.85,1847.78,933.6,96.75,289,51.67,3.24,30.2
2023-08-03,214,1132,1.91,2216.84,1391.81,136.47,271,47.66,0.7,85.53
2023-08-04,215,977,4.47,5239.53,2956.18,177.46,95,83.19,2.24,15.63
2023-08-05,216,1978,4.9,9253.05,6210.46,198.12,382,40.64,4.84,73.23
2023-08-06,217,1012,1.59,1291.55,773.87,152.1,426,35.41,3.17,15.51
2023-08-07,218,873,2.68,2254.56,1315.0,94.22,142,81.32,0.02,66.68
2023-08-08,219,1780,4.35,6733.41,3526.94,168.85,419,85.95,2.71,79.42
2023-08-09,220,1506,1.52,2680.72,1336.57,107.84,289,69.26,3.57,81.59
2023-08-10,221,1231,0.92,1070.14,496.83,112.02,387,76.02,1.32,23.63
2023-08-11,222,805,3.84,3270.17,2116.11,139.35,54,70.78,1.81,27.07
2023-08-12,223,1578,3.25,4535.16,2889.25,92.45,249,68.91,3.56,27.91
2023-08-13,224,1793,3.66,7670.08,3993.83,157.85,336,37.21,3.58,48.36
2023-08-14,225,1976,1.46,3016.66,1680.8,191.26,451,60.53,0.57,57.78
2023-08-15,226,1180,1.53,2050.91,1208.32,81.18,499,78.23,0.16,86.55
2023-08-16,227,1599,3.16,5511.36,3307.64,112.64,398,44.95,4.23,53.51
2023-08-17,228,1710,4.56,7817.94,4422.86,146.25,197,91.92,3.79,39.14
2023-08-18,229,833,2.53,1810.94,1104.2,94.92,324,37.11,3.97,51.17
2023-08-19,230,1881,3.23,6246.78,3746.75,111.73,147,81.51,3.58,79.18
2023-08-20,231,1309,1.92,2274.34,1447.46,115.02,483,44.43,4.31,14.18
2023-08-21,232,1799,4.19,7657.36,3370.84,56.46,110,53.44,0.74,26.5
2023-08-22,233,976,1.89,1997.57,805.27,183.71,239,65.38,0.03,44.89
2023-08-23,234,1681,4.59,8560.35,3693.57,166.31,240,89.52,1.47,69.09
2023-08-24,235,1254,4.31,4735.75,2523.95,102.17,430,78.44,2.94,30.27
2023-08-25,236,1197,1.55,1516.19,904.23,68.38,173,77.96,0.45,87.69
2023-08-26,237,1769,4.25,7552.93,4831.21,76.61,78,49.6,1.37,14.18
2023-08-27,238,1139,4.7,4888.77,2554.12,155.68,89,34.26,1.51,92.75
2023-08-28,239,1118,1.52,1785.29,1242.96,87.66,285,79.87,4.37,33.55
2023-08-29,240,1307,4.47,4703.86,3256.86,124.58,300,41.65,2.76,80.33
2023-08-30,241,1728,2.32,4699.27,2063.7,79.53,61,62.0,3.04,26.76
2023-08-31,242,1425,0.97,1528.87,1055.25,144.45,261,68.16,3.99,88.47
2023-09-01,243,1278,3.17,4648.09,2645.09,78.87,56,60.34,4.01,81.75
2023-09-02,244,1847,1.35,2980.58,1565.94,196.88,147,89.26,2.94,69.39
2023-09-03,245,1631,2.16,3450.02,1677.74,165.86,396,56.93,2.49,68.92
2023-09-04,246,1674,2.04,3404.13,1574.23,145.23,62,54.78,0.85,20.32
2023-09-05,247,1366,1.39,1947.67,802.79,125.87,148,92.09,4.29,44.57
2023-09-06,248,1555,4.43,7093.0,4194.52,176.21,194,65.85,0.09,27.28
2023-09-07,249,1248,4.36,5756.36,2694.93,160.3,196,84.51,1.28,27.7
2023-09-08,250,1033,4.75,4320.44,2865.49,189.47,228,71.6,2.5,12.69
2023-09-09,251,1561,3.74,6806.81,3595.61,163.13,103,56.87,0.22,70.91
2023-09-10,252,1761,3.52,4987.35,3442.34,154.16,401,64.53,4.24,34.4
2023-09-11,253,990,3.9,4254.87,2948.74,191.57,150,71.65,0.81,57.43
2023-09-12,254,1727,4.37,6802.74,3867.43,106.18,60,47.42,4.21,23.86
2023-09-13,255,1040,2.39,2328.63,1084.97,182.09,90,81.48,3.55,27.46
2023-09-14,256,1466,4.83,7042.3,3033.55,90.74,319,93.34,1.02,58.02
2023-09-15,257,1274,3.86,4316.41,2360.19,80.29,296,52.11,0.44,20.67
2023-09-16,258,1739,3.94,6627.72,3784.93,115.99,86,71.16,2.59,42.94
2023-09-17,259,1261,2.78,3925.51,2672.84,86.43,283,83.69,2.7,88.31
2023-09-18,260,1265,2.58,3021.82,1662.27,170.34,267,67.71,0.87,44.71
2023-09-19,261,1462,2.83,4596.63,2173.14,68.04,379,79.93,4.73,33.16
2023-09-20,262,1046,3.76,4236.69,2305.57,134.76,371,67.61,3.21,95.81
2023-09-21,263,1532,4.62,6877.53,3858.51,196.03,171,34.84,0.36,42.83
2023-09-22,264,1085,3.94,4970.75,2809.19,158.61,58,61.54,1.81,62.13
2023-09-23,265,1612,3.09,4871.89,2728.14,128.47,415,61.18,4.03,23.39
2023-09-24,266,1035,3.91,3676.42,1900.2,70.4,217,38.04,4.06,81.59
2023-09-25,267,1163,4.0,5514.37,3449.97,89.22,56,78.14,1.55,66.29
2023-09-26,268,1889,4.56,7513.55,3054.68,127.25,415,78.58,0.63,77.66
2023-09-27,269,859,0.82,742.52,366.38,76.97,202,36.37,3.81,14.44
2023-09-28,270,1704,2.31,4173.4,1692.18,189.64,425,94.98,2.47,44.61
2023-09-29,271,1607,2.02,3535.38,1556.0,158.88,234,69.59,3.35,72.92
2023-09-30,272,1455,1.81,2329.91,959.95,174.45,259,55.45,4.3,35.77
2023-10-01,273,1584,3.62,6769.82,4376.56,118.81,378,44.05,4.25,46.43
2023-10-02,274,1238,3.77,4745.0,2681.67,128.71,87,49.23,3.87,89.05
2023-10-03,275,1605,2.84,3829.73,1957.39,146.26,185,94.93,1.78,37.6
2023-10-04,276,904,2.58,2732.27,1870.85,83.88,472,43.79,1.17,29.16
2023-10-05,277,1410,4.64,7338.18,4629.27,132.14,365,87.61,2.59,45.06
2023-10-06,278,1030,2.24,2456.49,1419.75,59.91,396,36.02,2.32,13.02
2023-10-07,279,1520,2.15,3514.56,1994.43,115.06,483,45.74,4.25,40.37
2023-10-08,280,1157,2.41,3178.07,2101.95,158.95,147,35.12,4.11,83.26
2023-10-09,281,1756,4.02,7147.25,3474.43,119.93,322,73.26,1.0,56.7
2023-10-10,282,989,1.25,1300.44,657.28,174.37,104,30.88,0.64,42.77
2023-10-11,283,1566,2.74,4933.19,2584.27,153.06,339,74.49,2.9,20.82
2023-10-12,284,1636,3.12,5451.79,2567.9,165.75,119,46.38,2.51,38.62
2023-10-13,285,1214,3.61,3552.15,2110.55,163.13,69,58.39,1.07,27.22
2023-10-14,286,972,0.94,840.56,496.46,110.58,152,79.08,2.83,48.9
2023-10-15,287,1236,1.06,1177.2,690.43,71.08,354,40.31,3.47,35.19
2023-10-16,288,1715,2.65,3731.75,2236.05,86.88,185,56.13,1.39,87.55
2023-10-17,289,1075,2.01,2591.96,1082.97,121.86,368,33.19,4.56,52.35
2023-10-18,290,1128,2.58,2583.95,1072.3,149.89,124,68.65,1.97,19.5
2023-10-19,291,1667,2.11,3842.22,1928.08,161.12,270,63.14,3.4,56.8
2023-10-20,292,967,3.9,3070.58,1863.43,84.36,168,53.51,3.0,64.55
2023-10-21,293,1730,0.92,1423.07,857.84,64.94,279,35.78,2.5,63.93
2023-10-22,294,1149,4.38,5914.88,2541.25,78.97,491,76.45,0.37,10.41
2023-10-23,295,982,2.73,2307.91,1322.19,72.38,334,33.92,0.09,45.93
2023-10-24,296,1173,4.47,6200.9,3718.21,83.85,196,35.41,1.75,44.63
2023-10-25,297,1596,1.68,2399.15,1532.31,135.57,125,36.6,1.29,92.73
2023-10-26,298,1941,4.81,9795.85,5011.7,101.15,371,32.86,3.73,20.86
2023-10-27,299,1950,1.33,2957.51,1816.21,173.74,316,34.32,3.39,87.47
2023-10-28,300,1464,4.78,6379.33,3921.46,160.61,338,44.93,1.04,24.76
2023-10-29,301,1950,1.8,3083.61,1456.12,142.2,229,42.6,0.35,80.21
2023-10-30,302,999,4.46,5212.75,3591.82,125.23,195,41.51,4.95,94.58
2023-10-31,303,1330,2.42,3639.34,2202.82,157.91,146,57.31,3.59,95.26
2023-11-01,304,905,3.94,3129.65,1319.5,194.65,281,84.9,3.55,90.36
2023-11-02,305,1086,0.94,1141.76,554.12,74.64,142,47.14,1.73,85.53
2023-11-03,306,1902,3.36,5131.44,2410.34,52.68,150,49.32,1.18,85.23
2023-11-04,307,1856,2.59,5432.9,3614.75,94.19,237,45.86,3.79,87.62
2023-11-05,308,1435,3.56,5475.07,3083.77,178.11,157,31.36,4.29,97.52
2023-11-06,309,1535,2.37,4192.42,2452.99,168.76,107,69.95,3.97,41.44
2023-11-07,310,1920,4.73,9344.86,4451.8,170.93,64,42.47,3.09,33.1
2023-11-08,311,1406,2.34,3908.16,2115.03,154.7,332,81.52,0.6,23.26
2023-11-09,312,1696,3.69,6649.22,3941.01,86.62,472,31.21,0.85,60.94
2023-11-10,313,1273,1.67,2114.15,1033.6,186.83,267,83.54,4.76,29.12
2023-11-11,314,978,1.4,1443.73,668.93,133.9,228,64.09,3.5,19.6
2023-11-12,315,1257,0.75,1097.64,683.38,139.5,276,49.93,2.74,20.16
2023-11-13,316,1540,1.94,3490.0,2417.27,83.56,491,43.03,2.17,36.52
2023-11-14,317,1310,0.52,738.96,310.38,66.0,272,58.36,0.63,67.26
